codigo_ibge,municipio,Territorialidades,corede,regiao_funcional,regiao_funcional_id
4300034,Aceguá,Aceguá (RS),Campanha,RF6,6
4300059,Água Santa,Água Santa (RS),Nordeste,RF9,9
4300109,Agudo,Agudo (RS),Central,RF8,8
4300208,Ajuricaba,Ajuricaba (RS),Noroeste Colonial,RF7,7
4300307,Alecrim,Alecrim (RS),Fronteira Noroeste,RF7,7
4300406,Alegrete,Alegrete (RS),Fronteira Oeste,RF6,6
4300455,Alegria,Alegria (RS),Fronteira Noroeste,RF7,7
4300471,Almirante Tamandaré do Sul,Almirante Tamandaré do Sul (RS),Produção,RF9,9
4300505,Alpestre,Alpestre (RS),Médio Alto Uruguai,RF9,9
4300554,Alto Alegre,Alto Alegre (RS),Alto da Serra do Botucaraí,RF9,9
4300570,Alto Feliz,Alto Feliz (RS),Vale do Caí,RF1,1
4300604,Alvorada,Alvorada (RS),Metropolitano Delta do Jacuí,RF1,1
4300638,Amaral Ferrador,Amaral Ferrador (RS),Sul,RF5,5
4300646,Ametista do Sul,Ametista do Sul (RS),Médio Alto Uruguai,RF9,9
4300661,André da Rocha,André da Rocha (RS),Campos de Cima da Serra,RF3,3
4300703,Anta Gorda,Anta Gorda (RS),Vale do Taquari,RF2,2
4300802,Antônio Prado,Antônio Prado (RS),Serra,RF3,3
4300851,Arambaré,Arambaré (RS),Centro-Sul,RF1,1
4300877,Araricá,Araricá (RS),Vale do Rio dos Sinos,RF1,1
4300901,Aratiba,Aratiba (RS),Norte,RF9,9
4301008,Arroio do Meio,Arroio do Meio (RS),Vale do Taquari,RF2,2
4301057,Arroio do Sal,Arroio do Sal (RS),Litoral,RF4,4
4301073,Arroio do Padre,Arroio do Padre (RS),Sul,RF5,5
4301107,Arroio dos Ratos,Arroio dos Ratos (RS),Centro-Sul,RF1,1
4301206,Arroio do Tigre,Arroio do Tigre (RS),Vale do Rio Pardo,RF2,2
4301305,Arroio Grande,Arroio Grande (RS),Sul,RF5,5
4301404,Arvorezinha,Arvorezinha (RS),Vale do Taquari,RF2,2
4301503,Augusto Pestana,Augusto Pestana (RS),Noroeste Colonial,RF7,7
4301552,Áurea,Áurea (RS),Norte,RF9,9
4301602,Bagé,Bagé (RS),Campanha,RF6,6
4301636,Balneário Pinhal,Balneário Pinhal (RS),Litoral,RF4,4
4301651,Barão,Barão (RS),Vale do Caí,RF1,1
4301701,Barão de Cotegipe,Barão de Cotegipe (RS),Norte,RF9,9
4301750,Barão do Triunfo,Barão do Triunfo (RS),Centro-Sul,RF1,1
4301800,Barracão,Barracão (RS),Nordeste,RF9,9
4301859,Barra do Guarita,Barra do Guarita (RS),Celeiro,RF7,7
4301875,Barra do Quaraí,Barra do Quaraí (RS),Fronteira Oeste,RF6,6
4301909,Barra do Ribeiro,Barra do Ribeiro (RS),Centro-Sul,RF1,1
4301925,Barra do Rio Azul,Barra do Rio Azul (RS),Norte,RF9,9
4301958,Barra Funda,Barra Funda (RS),Rio da Várzea,RF9,9
4302006,Barros Cassal,Barros Cassal (RS),Alto da Serra do Botucaraí,RF9,9
4302055,Benjamin Constant do Sul,Benjamin Constant do Sul (RS),Norte,RF9,9
4302105,Bento Gonçalves,Bento Gonçalves (RS),Serra,RF3,3
4302154,Boa Vista das Missões,Boa Vista das Missões (RS),Rio da Várzea,RF9,9
4302204,Boa Vista do Buricá,Boa Vista do Buricá (RS),Fronteira Noroeste,RF7,7
4302220,Boa Vista do Cadeado,Boa Vista do Cadeado (RS),Alto Jacuí,RF8,8
4302238,Boa Vista do Incra,Boa Vista do Incra (RS),Alto Jacuí,RF8,8
4302253,Boa Vista do Sul,Boa Vista do Sul (RS),Serra,RF3,3
4302303,Bom Jesus,Bom Jesus (RS),Campos de Cima da Serra,RF3,3
4302352,Bom Princípio,Bom Princípio (RS),Vale do Caí,RF1,1
4302378,Bom Progresso,Bom Progresso (RS),Celeiro,RF7,7
4302402,Bom Retiro do Sul,Bom Retiro do Sul (RS),Vale do Taquari,RF2,2
4302451,Boqueirão do Leão,Boqueirão do Leão (RS),Vale do Rio Pardo,RF2,2
4302501,Bossoroca,Bossoroca (RS),Missões,RF7,7
4302584,Bozano,Bozano (RS),Noroeste Colonial,RF7,7
4302600,Braga,Braga (RS),Celeiro,RF7,7
4302659,Brochier,Brochier (RS),Vale do Caí,RF1,1
4302709,Butiá,Butiá (RS),Centro-Sul,RF1,1
4302808,Caçapava do Sul,Caçapava do Sul (RS),Campanha,RF6,6
4302907,Cacequi,Cacequi (RS),Vale do Jaguari,RF8,8
4303004,Cachoeira do Sul,Cachoeira do Sul (RS),Jacuí Centro,RF8,8
4303103,Cachoeirinha,Cachoeirinha (RS),Metropolitano Delta do Jacuí,RF1,1
4303202,Cacique Doble,Cacique Doble (RS),Nordeste,RF9,9
4303301,Caibaté,Caibaté (RS),Missões,RF7,7
4303400,Caiçara,Caiçara (RS),Médio Alto Uruguai,RF9,9
4303509,Camaquã,Camaquã (RS),Centro-Sul,RF1,1
4303558,Camargo,Camargo (RS),Produção,RF9,9
4303608,Cambará do Sul,Cambará do Sul (RS),Hortênsias,RF3,3
4303673,Campestre da Serra,Campestre da Serra (RS),Campos de Cima da Serra,RF3,3
4303707,Campina das Missões,Campina das Missões (RS),Fronteira Noroeste,RF7,7
4303806,Campinas do Sul,Campinas do Sul (RS),Norte,RF9,9
4303905,Campo Bom,Campo Bom (RS),Vale do Rio dos Sinos,RF1,1
4304002,Campo Novo,Campo Novo (RS),Celeiro,RF7,7
4304101,Campos Borges,Campos Borges (RS),Alto da Serra do Botucaraí,RF9,9
4304200,Candelária,Candelária (RS),Vale do Rio Pardo,RF2,2
4304309,Cândido Godói,Cândido Godói (RS),Fronteira Noroeste,RF7,7
4304358,Candiota,Candiota (RS),Campanha,RF6,6
4304408,Canela,Canela (RS),Hortênsias,RF3,3
4304507,Canguçu,Canguçu (RS),Sul,RF5,5
4304606,Canoas,Canoas (RS),Vale do Rio dos Sinos,RF1,1
4304614,Canudos do Vale,Canudos do Vale (RS),Vale do Taquari,RF2,2
4304622,Capão Bonito do Sul,Capão Bonito do Sul (RS),Nordeste,RF9,9
4304630,Capão da Canoa,Capão da Canoa (RS),Litoral,RF4,4
4304655,Capão do Cipó,Capão do Cipó (RS),Vale do Jaguari,RF8,8
4304663,Capão do Leão,Capão do Leão (RS),Sul,RF5,5
4304671,Capivari do Sul,Capivari do Sul (RS),Litoral,RF4,4
4304689,Capela de Santana,Capela de Santana (RS),Vale do Caí,RF1,1
4304697,Capitão,Capitão (RS),Vale do Taquari,RF2,2
4304705,Carazinho,Carazinho (RS),Produção,RF9,9
4304713,Caraá,Caraá (RS),Litoral,RF4,4
4304804,Carlos Barbosa,Carlos Barbosa (RS),Serra,RF3,3
4304853,Carlos Gomes,Carlos Gomes (RS),Norte,RF9,9
4304903,Casca,Casca (RS),Produção,RF9,9
4304952,Caseiros,Caseiros (RS),Nordeste,RF9,9
4305009,Catuípe,Catuípe (RS),Noroeste Colonial,RF7,7
