Regiao_Funcional_ID,Regiao_Funcional_Nome,COREDE,Principais_Municipios_Exemplos
1,Região Funcional 1,Metropolitano do Delta do Jacuí,"Porto Alegre, Canoas, Gravataí, Viamão, Alvorada"
1,Região Funcional 1,Centro Sul,"Camaquã, Guaíba, Tapes, Barra do Ribeiro"
1,Região Funcional 1,Vale do Caí,"Montenegro, São Sebastião do Caí, Feliz"
1,Região Funcional 1,Vale do Rio dos Sinos,"Novo Hamburgo, São Leopoldo, Sapucaia do Sul, Campo Bom"
1,Região Funcional 1,Paranhana/Encosta da Serra,"Taquara, Igrejinha, Rolante, Três Coroas"
2,Região Funcional 2,Vale do Rio Pardo,"Santa Cruz do Sul, Venâncio Aires, Rio Pardo"
2,Região Funcional 2,Vale do Taquari,"Lajeado, Estrela, Teutônia, Encantado"
3,Região Funcional 3,Sul,"Pelotas, Rio Grande, São Lourenço do Sul"
3,Região Funcional 3,Campanha,"Bagé, Dom Pedrito, Caçapava do Sul"
3,Região Funcional 3,Litoral,"Osório, Tramandaí, Capão da Canoa, Torres"
4,Região Funcional 4,Fronteira Oeste,"Uruguaiana, Santana do Livramento, Alegrete, São Borja"
4,Região Funcional 4,Sudoeste,"Bagé (parcial), Lavras do Sul, São Gabriel"
5,Região Funcional 5,Central,"Santa Maria, São Sepé, Faxinal do Soturno"
5,Região Funcional 5,Jacuí Centro,"Cachoeira do Sul, Restinga Sêca"
5,Região Funcional 5,Vale do Jaguari,"Jaguari, Santiago, São Vicente do Sul"
6,Região Funcional 6,Noroeste Colonial,"Ijuí, Panambi, Santo Augusto"
6,Região Funcional 6,Missões,"Santo Ângelo, São Luiz Gonzaga, Cerro Largo"
6,Região Funcional 6,Celeiro,"Três Passos, Tenente Portela, Redentora"
7,Região Funcional 7,Produção,"Passo Fundo, Carazinho, Marau"
7,Região Funcional 7,Rio da Várzea,"Palmeira das Missões, Frederico Westphalen"
7,Região Funcional 7,Alto da Serra do Botucaraí,"Soledade, Arvorezinha, Barros Cassal"
8,Região Funcional 8,Serra,"Caxias do Sul, Bento Gonçalves, Farroupilha, Vacaria"
8,Região Funcional 8,Campos de Cima da Serra,"Vacaria, Bom Jesus, São José dos Ausentes"
8,Região Funcional 8,Hortênsias,"Gramado, Canela, Nova Petrópolis, São Francisco de Paula"
9,Região Funcional 9,Médio Alto Uruguai,"Frederico Westphalen, Rodeio Bonito"
9,Região Funcional 9,Nordeste,"Sananduva, Tapejara, Lagoa Vermelha"
9,Região Funcional 9,Botucaraí / Alto Jacuí,"Cruz Alta, Ibirubá, Espumoso"
