codigo_ibge,municipio,Territorialidades,populacao_censo_2010,pib_total_mil_reais,pib_per_capita_2010,impostos_liquidos_mil_reais,vab_total_mil_reais,vab_agropecuaria_mil_reais,vab_industria_mil_reais,vab_servicos_exceto_adm_publica_mil_reais,vab_administracao_publica_mil_reais
4300034,Aceguá,Aceguá (RS),4394,104476.0,23776.97,4217.0,100258.0,54344.0,5399.0,24502.0,16014.0
4300109,Agudo,Agudo (RS),16722,245071.0,14655.6,24364.0,220706.0,68992.0,27290.0,80534.0,43890.0
4300208,Ajuricaba,Ajuricaba (RS),7255,132823.0,18307.79,10332.0,122491.0,41486.0,5922.0,55580.0,19502.0
4300307,Alecrim,Alecrim (RS),7045,58429.0,8293.68,2267.0,56163.0,17570.0,2219.0,18506.0,17867.0
4300406,Alegrete,Alegrete (RS),77653,1064425.0,13707.45,75747.0,988678.0,231041.0,116099.0,441686.0,199852.0
4300455,Alegria,Alegria (RS),4301,46637.0,10843.29,2100.0,44537.0,17765.0,1699.0,12082.0,12991.0
4300471,Almirante Tamandaré do Sul,Almirante Tamandaré do Sul (RS),2067,60757.0,29393.81,2995.0,57763.0,32132.0,2517.0,15143.0,7971.0
4300505,Alpestre,Alpestre (RS),8027,83489.0,10401.02,6157.0,77332.0,33450.0,4400.0,18045.0,21436.0
4300554,Alto Alegre,Alto Alegre (RS),1848,29527.0,15977.81,1494.0,28033.0,12085.0,1318.0,8110.0,6520.0
4300570,Alto Feliz,Alto Feliz (RS),2917,36097.0,12374.7,2719.0,33378.0,10694.0,7220.0,6714.0,8750.0
4300604,Alvorada,Alvorada (RS),195673,1360732.0,6954.11,130148.0,1230585.0,1230.0,245327.0,552611.0,431417.0
4300638,Amaral Ferrador,Amaral Ferrador (RS),6353,50626.0,7968.83,1446.0,49181.0,19193.0,1922.0,11023.0,17042.0
4300646,Ametista do Sul,Ametista do Sul (RS),7323,52009.0,7102.14,3402.0,48607.0,9652.0,7738.0,11426.0,19791.0
4300661,André da Rocha,André da Rocha (RS),1216,35657.0,29323.19,1339.0,34318.0,20038.0,1384.0,7693.0,5203.0
4300703,Anta Gorda,Anta Gorda (RS),6073,89139.0,14677.92,7199.0,81940.0,31630.0,6425.0,26915.0,16971.0
4300802,Antônio Prado,Antônio Prado (RS),12833,250585.0,19526.61,33228.0,217357.0,33961.0,60544.0,89740.0,33111.0
4300851,Arambaré,Arambaré (RS),3693,66994.0,18140.81,1641.0,65353.0,33380.0,3643.0,15759.0,12571.0
4300877,Araricá,Araricá (RS),4864,74628.0,15342.93,10993.0,63635.0,953.0,29441.0,21121.0,12120.0
4300901,Aratiba,Aratiba (RS),6565,1091182.0,166212.03,5205.0,1085977.0,39550.0,996415.0,28404.0,21608.0
4301305,Arroio Grande,Arroio Grande (RS),18470,298335.0,16152.41,15358.0,282977.0,118200.0,26550.0,91117.0,47109.0
4301008,Arroio do Meio,Arroio do Meio (RS),18783,515080.0,27422.67,73387.0,441692.0,30489.0,201031.0,161056.0,49116.0
4301073,Arroio do Padre,Arroio do Padre (RS),2730,27190.0,9959.71,1051.0,26139.0,9405.0,1794.0,5273.0,9667.0
4301057,Arroio do Sal,Arroio do Sal (RS),7740,104248.0,13468.73,8449.0,95799.0,1262.0,10713.0,58134.0,25689.0
4301206,Arroio do Tigre,Arroio do Tigre (RS),12648,187777.0,14846.38,9726.0,178051.0,71013.0,15711.0,59421.0,31906.0
4301107,Arroio dos Ratos,Arroio dos Ratos (RS),13606,111366.0,8185.07,7760.0,103606.0,10625.0,9933.0,47754.0,35294.0
4301404,Arvorezinha,Arvorezinha (RS),10225,114539.0,11201.86,7503.0,107036.0,30638.0,9049.0,43570.0,23780.0
4301503,Augusto Pestana,Augusto Pestana (RS),7096,140599.0,19813.84,10998.0,129600.0,42231.0,9776.0,58894.0,18699.0
4301602,Bagé,Bagé (RS),116794,1288068.0,11028.55,103888.0,1184180.0,78608.0,132453.0,676737.0,296382.0
4301636,Balneário Pinhal,Balneário Pinhal (RS),10856,101172.0,9319.45,6245.0,94926.0,4142.0,5839.0,51666.0,33280.0
4301958,Barra Funda,Barra Funda (RS),2367,73415.0,31016.05,7578.0,65837.0,10760.0,28257.0,18372.0,8447.0
4301859,Barra do Guarita,Barra do Guarita (RS),3089,22755.0,7366.46,544.0,22211.0,6790.0,1006.0,5039.0,9375.0
4301875,Barra do Quaraí,Barra do Quaraí (RS),4012,113516.0,28294.12,3343.0,110173.0,69477.0,6740.0,19312.0,14644.0
4301909,Barra do Ribeiro,Barra do Ribeiro (RS),12572,167618.0,13332.64,12980.0,154637.0,57978.0,13505.0,52043.0,31110.0
4301925,Barra do Rio Azul,Barra do Rio Azul (RS),2003,27049.0,13504.24,635.0,26414.0,15321.0,702.0,3563.0,6828.0
4301800,Barracão,Barracão (RS),5357,109024.0,20351.69,5398.0,103626.0,51691.0,4806.0,31619.0,15510.0
4302006,Barros Cassal,Barros Cassal (RS),11133,104410.0,9378.42,6248.0,98162.0,34018.0,4837.0,30873.0,28434.0
4301651,Barão,Barão (RS),5741,111632.0,19444.7,11320.0,100313.0,19110.0,48606.0,18228.0,14370.0
4301701,Barão de Cotegipe,Barão de Cotegipe (RS),6529,100064.0,15326.08,8858.0,91207.0,28549.0,13793.0,32597.0,16268.0
4301750,Barão do Triunfo,Barão do Triunfo (RS),7018,58348.0,8314.05,1471.0,56877.0,28178.0,1629.0,8776.0,18293.0
4302055,Benjamin Constant do Sul,Benjamin Constant do Sul (RS),2307,16712.0,7244.04,401.0,16311.0,6210.0,634.0,2843.0,6624.0
4302105,Bento Gonçalves,Bento Gonçalves (RS),107278,3508007.0,32700.15,612839.0,2895168.0,58970.0,1269259.0,1273889.0,293050.0
4302154,Boa Vista das Missões,Boa Vista das Missões (RS),2114,74989.0,35472.56,1555.0,73434.0,48407.0,3345.0,14074.0,7609.0
4302204,Boa Vista do Buricá,Boa Vista do Buricá (RS),6574,102532.0,15596.59,7430.0,95103.0,21120.0,15350.0,40534.0,18097.0
4302220,Boa Vista do Cadeado,Boa Vista do Cadeado (RS),2441,93827.0,38437.94,3263.0,90563.0,57833.0,3453.0,20018.0,9260.0
4302238,Boa Vista do Incra,Boa Vista do Incra (RS),2425,72654.0,29960.41,3376.0,69278.0,38201.0,2614.0,19215.0,9248.0
4302253,Boa Vista do Sul,Boa Vista do Sul (RS),2776,43793.0,15775.58,3661.0,40132.0,18885.0,3753.0,7646.0,9849.0
4302303,Bom Jesus,Bom Jesus (RS),11519,172919.0,15011.63,9034.0,163885.0,67123.0,15442.0,52300.0,29020.0
4302352,Bom Princípio,Bom Princípio (RS),11789,255594.0,21680.72,32536.0,223057.0,15285.0,94567.0,81667.0,31538.0
4302378,Bom Progresso,Bom Progresso (RS),2328,32038.0,13762.03,1932.0,30105.0,10711.0,2953.0,8601.0,7840.0
4302402,Bom Retiro do Sul,Bom Retiro do Sul (RS),11472,154180.0,13439.68,15845.0,138335.0,11059.0,50897.0,47250.0,29130.0
4302451,Boqueirão do Leão,Boqueirão do Leão (RS),7673,79804.0,10400.63,2252.0,77552.0,36667.0,4220.0,17080.0,19585.0
4302501,Bossoroca,Bossoroca (RS),6884,139996.0,20336.43,9116.0,130880.0,57409.0,5281.0,47514.0,20677.0
4302584,Bozano,Bozano (RS),2200,38632.0,17560.0,1062.0,37570.0,21062.0,1278.0,8042.0,7189.0
4302600,Braga,Braga (RS),3702,47540.0,12841.71,2101.0,45439.0,16503.0,2126.0,15310.0,11501.0
4302659,Brochier,Brochier (RS),4675,53512.0,11446.42,2979.0,50533.0,13623.0,7953.0,15843.0,13113.0
4302709,Butiá,Butiá (RS),20406,260633.0,12772.37,15439.0,245194.0,54361.0,56057.0,83787.0,50989.0
4302907,Cacequi,Cacequi (RS),13676,157588.0,11522.96,7424.0,150164.0,51082.0,10248.0,52256.0,36578.0
4303004,Cachoeira do Sul,Cachoeira do Sul (RS),83827,1222148.0,14579.41,112018.0,1110129.0,164275.0,210337.0,532775.0,202742.0
4303103,Cachoeirinha,Cachoeirinha (RS),118278,4248239.0,35917.41,1622590.0,2625649.0,412.0,904417.0,1392070.0,328751.0
4303202,Cacique Doble,Cacique Doble (RS),4868,59115.0,12143.59,1937.0,57178.0,27219.0,2981.0,14164.0,12814.0
4303301,Caibaté,Caibaté (RS),4954,69305.0,13989.71,4339.0,64965.0,22669.0,3444.0,24220.0,14632.0
4303400,Caiçara,Caiçara (RS),5071,51634.0,10182.21,1220.0,50414.0,23418.0,2675.0,9918.0,14403.0
4303509,Camaquã,Camaquã (RS),62764,1034395.0,16480.71,124628.0,909767.0,129387.0,154751.0,471871.0,153759.0
4303558,Camargo,Camargo (RS),2592,52327.0,20187.89,3044.0,49283.0,24609.0,3108.0,13065.0,8501.0
4303608,Cambará do Sul,Cambará do Sul (RS),6542,105716.0,16159.58,7358.0,98358.0,30124.0,24124.0,23676.0,20435.0
4303673,Campestre da Serra,Campestre da Serra (RS),3247,62159.0,19143.52,7730.0,54428.0,23527.0,6005.0,13857.0,11040.0
4303707,Campina das Missões,Campina das Missões (RS),6117,68468.0,11193.07,2816.0,65652.0,24340.0,3378.0,21687.0,16247.0
4303806,Campinas do Sul,Campinas do Sul (RS),5506,105987.0,19249.36,7303.0,98684.0,29496.0,7016.0,46734.0,15437.0
4303905,Campo Bom,Campo Bom (RS),60074,1754045.0,29198.07,291534.0,1462511.0,1427.0,746964.0,556416.0,157704.0
4304002,Campo Novo,Campo Novo (RS),5459,94139.0,17244.73,7179.0,86960.0,31975.0,5432.0,34360.0,15193.0
4304101,Campos Borges,Campos Borges (RS),3494,51422.0,14717.23,2718.0,48704.0,11992.0,12387.0,13863.0,10463.0
4304200,Candelária,Candelária (RS),30171,383562.0,12712.94,22343.0,361220.0,104600.0,43066.0,142663.0,70891.0
4304358,Candiota,Candiota (RS),8771,659547.0,75196.33,28933.0,630614.0,13950.0,534006.0,49154.0,33504.0
4304408,Canela,Canela (RS),39229,508128.0,12952.87,37188.0,470940.0,6504.0,120556.0,241916.0,101964.0
4304507,Canguçu,Canguçu (RS),53259,478822.0,8990.44,25930.0,452892.0,126302.0,23023.0,171395.0,132172.0
4304606,Canoas,Canoas (RS),323827,12718014.0,39274.1,2651602.0,10066412.0,4304.0,3684935.0,5482070.0,895103.0
4304614,Canudos do Vale,Canudos do Vale (RS),1807,22345.0,12365.8,507.0,21838.0,11221.0,783.0,3384.0,6450.0
4304689,Capela de Santana,Capela de Santana (RS),11612,102902.0,8861.69,9213.0,93690.0,12384.0,11815.0,41021.0,28469.0
4304697,Capitão,Capitão (RS),2636,35820.0,13588.77,897.0,34923.0,18415.0,2593.0,5304.0,8612.0
4304671,Capivari do Sul,Capivari do Sul (RS),3890,129264.0,33229.82,12666.0,116598.0,38737.0,14052.0,51075.0,12734.0
4304622,Capão Bonito do Sul,Capão Bonito do Sul (RS),1754,84105.0,47950.4,1958.0,82147.0,56760.0,4589.0,14751.0,6048.0
4304630,Capão da Canoa,Capão da Canoa (RS),42040,653655.0,15548.41,53582.0,600074.0,1554.0,137623.0,338633.0,122263.0
4304655,Capão do Cipó,Capão do Cipó (RS),3104,129685.0,41779.96,3766.0,125920.0,73013.0,15939.0,25903.0,11064.0
4304663,Capão do Leão,Capão do Leão (RS),24298,272056.0,11196.64,26582.0,245473.0,31867.0,69813.0,77949.0,65845.0
4304705,Carazinho,Carazinho (RS),59317,1157959.0,19521.54,147508.0,1010451.0,70333.0,171778.0,611076.0,157265.0
4304713,Caraá,Caraá (RS),7312,47902.0,6551.15,1437.0,46465.0,16712.0,3502.0,7538.0,18713.0
4304804,Carlos Barbosa,Carlos Barbosa (RS),25192,1010717.0,40120.55,205803.0,804914.0,31975.0,443260.0,262550.0,67128.0
4304853,Carlos Gomes,Carlos Gomes (RS),1607,19432.0,12092.1,376.0,19056.0,9234.0,703.0,3153.0,5965.0
4304903,Casca,Casca (RS),8651,214235.0,24764.19,23719.0,190516.0,51962.0,27847.0,87635.0,23073.0
4304952,Caseiros,Caseiros (RS),3007,53011.0,17629.2,2173.0,50839.0,22436.0,5630.0,13620.0,9153.0
4305009,Catuípe,Catuípe (RS),9323,151586.0,16259.36,8356.0,143230.0,55618.0,7743.0,55599.0,24269.0
4305108,Caxias do Sul,Caxias do Sul (RS),435564,16471201.0,37815.8,2812903.0,13658298.0,134143.0,6159310.0,6136943.0,1227902.0
4302808,Caçapava do Sul,Caçapava do Sul (RS),33690,406800.0,12074.8,33861.0,372939.0,54809.0,68978.0,162301.0,86850.0
4305116,Centenário,Centenário (RS),2965,31709.0,10694.44,971.0,30738.0,14754.0,1126.0,6534.0,8323.0
4305124,Cerrito,Cerrito (RS),6402,52861.0,8256.95,1946.0,50916.0,18193.0,3764.0,12446.0,16512.0
4305132,Cerro Branco,Cerro Branco (RS),4454,44613.0,10016.39,1275.0,43338.0,18473.0,1534.0,9827.0,13503.0
4305157,Cerro Grande,Cerro Grande (RS),2417,28000.0,11584.61,599.0,27402.0,13753.0,854.0,4656.0,8138.0
4305173,Cerro Grande do Sul,Cerro Grande do Sul (RS),10268,88898.0,8657.77,6389.0,82509.0,22175.0,5703.0,29566.0,25065.0
4305207,Cerro Largo,Cerro Largo (RS),13289,382028.0,28747.69,71781.0,310246.0,23861.0,36202.0,216988.0,33196.0
4305306,Chapada,Chapada (RS),9377,223013.0,23782.98,12376.0,210636.0,96949.0,18274.0,70161.0,25252.0
4305355,Charqueadas,Charqueadas (RS),35320,885720.0,25077.01,96943.0,788778.0,12560.0,482931.0,194480.0,98807.0
4305371,Charrua,Charrua (RS),3471,47096.0,13568.42,1604.0,45492.0,23682.0,1947.0,9839.0,10024.0
4305405,Chiapetta,Chiapetta (RS),4044,87422.0,21617.71,3475.0,83947.0,42049.0,4062.0,24691.0,13144.0
4305447,Chuvisca,Chuvisca (RS),4944,56075.0,11342.03,1401.0,54674.0,29490.0,2010.0,9188.0,13986.0
4305439,Chuí,Chuí (RS),5917,77517.0,13100.73,7492.0,70025.0,9284.0,4366.0,39942.0,16434.0
4305454,Cidreira,Cidreira (RS),12668,134801.0,10641.06,9176.0,125626.0,5944.0,10607.0,71288.0,37787.0
4305504,Ciríaco,Ciríaco (RS),4922,78476.0,15943.93,3858.0,74618.0,35774.0,3833.0,21821.0,13191.0
4305587,Colinas,Colinas (RS),2420,34201.0,14132.64,1575.0,32626.0,12052.0,5634.0,7355.0,7585.0
4305603,Colorado,Colorado (RS),3550,86792.0,24448.45,4759.0,82033.0,39539.0,3851.0,25862.0,12781.0
4305702,Condor,Condor (RS),6552,167682.0,25592.49,12123.0,155559.0,48584.0,30269.0,57176.0,19530.0
4305801,Constantina,Constantina (RS),9752,133239.0,13662.74,9327.0,123912.0,31458.0,8723.0,58737.0,24995.0
4305835,Coqueiro Baixo,Coqueiro Baixo (RS),1528,21570.0,14116.49,526.0,21043.0,12392.0,511.0,2709.0,5431.0
4305850,Coqueiros do Sul,Coqueiros do Sul (RS),2457,54683.0,22256.0,1676.0,53007.0,31476.0,2244.0,10704.0,8583.0
4305871,Coronel Barros,Coronel Barros (RS),2459,46138.0,18762.91,2810.0,43328.0,17770.0,2832.0,14044.0,8683.0
4305900,Coronel Bicaco,Coronel Bicaco (RS),7748,147487.0,19035.49,7045.0,140442.0,63079.0,7970.0,48796.0,20598.0
4305934,Coronel Pilar,Coronel Pilar (RS),1725,24512.0,14209.86,651.0,23862.0,13933.0,759.0,3149.0,6022.0
4305959,Cotiporã,Cotiporã (RS),3917,59293.0,15137.35,4417.0,54875.0,17595.0,10788.0,15745.0,10747.0
4305975,Coxilha,Coxilha (RS),2826,96160.0,34026.89,2342.0,93818.0,60696.0,4650.0,18529.0,9942.0
4306007,Crissiumal,Crissiumal (RS),14084,191328.0,13584.78,12433.0,178895.0,42098.0,43093.0,56897.0,36807.0
4306056,Cristal,Cristal (RS),7280,91590.0,12581.04,4680.0,86910.0,33779.0,6858.0,26905.0,19367.0
4306072,Cristal do Sul,Cristal do Sul (RS),2826,30002.0,10616.42,488.0,29514.0,15497.0,1031.0,4575.0,8410.0
4306106,Cruz Alta,Cruz Alta (RS),62821,1426496.0,22707.31,179531.0,1246965.0,105901.0,135085.0,849490.0,156489.0
4306130,Cruzaltense,Cruzaltense (RS),2141,35045.0,16368.52,1706.0,33339.0,15019.0,1382.0,9298.0,7640.0
4306205,Cruzeiro do Sul,Cruzeiro do Sul (RS),12320,157715.0,12801.54,16394.0,141322.0,30920.0,29282.0,52323.0,28797.0
4304309,Cândido Godói,Cândido Godói (RS),6535,125680.0,19231.83,6664.0,119016.0,35727.0,31212.0,35127.0,16951.0
4306304,David Canabarro,David Canabarro (RS),4683,72400.0,15460.18,2770.0,69630.0,32378.0,3779.0,20668.0,12805.0
4306320,Derrubadas,Derrubadas (RS),3190,44273.0,13878.68,1235.0,43038.0,23339.0,1966.0,7712.0,10022.0
4306353,Dezesseis de Novembro,Dezesseis de Novembro (RS),2866,23041.0,8039.43,889.0,22152.0,7318.0,752.0,4530.0,9551.0
4306379,Dilermando de Aguiar,Dilermando de Aguiar (RS),3064,53182.0,17357.05,1012.0,52170.0,25569.0,7018.0,9075.0,10507.0
4306403,Dois Irmãos,Dois Irmãos (RS),27572,947058.0,34348.54,129447.0,817611.0,5253.0,416382.0,324519.0,71456.0
4306429,Dois Irmãos das Missões,Dois Irmãos das Missões (RS),2157,56592.0,26236.44,2434.0,54158.0,32445.0,3089.0,10534.0,8091.0
