trimestre,canalAcesso,produto,acessoATM,qtdTransacoes,valorTransacoes
20204,Correspondentes no País,Empréstimos e Financiamentos,Não aplicável,13203892,"47859027916,57"
20204,ATM,Outras não Financeiras,ATM/Acesso restrito,135339535,0
20204,ATM,Consulta Saldo/Extrato,ATM/Acesso aberto/Cartão terceiro,140897251,0
20204,ATM,Saque,ATM/Acesso aberto/Cartão próprio,131468880,"65028029665,89"
20204,Agências,Outras não Financeiras,Não aplicável,65093637,0
20204,Telefone Celular,Outras não Financeiras,Não aplicável,2383039796,0
20204,Telefone Celular,Ordem de Transferência de Crédito,Não aplicável,377479858,"803424233479,17"
20204,ATM,Outras Financeiras,ATM/Acesso restrito,1516724,"20294598143,72"
20204,Centrais de Atendimento,Boletos e Convênios,Não aplicável,459773,"621095954,26"
20204,ATM,Outras Financeiras,ATM/Acesso aberto/Cartão próprio,1210218,"30062004549,24"
20204,Internet Banking,Boletos e Convênios,Não aplicável,407713741,"1018357843041,32"
20204,ATM,Empréstimos e Financiamentos,ATM/Acesso restrito,10618143,"3678819679,63"
20204,Posto de Atendimento Cooperativo,Ordem de Transferência de Crédito,Não aplicável,9931693,"72933774315,52"
20204,Agências,Ordem de Transferência de Crédito,Não aplicável,89220573,"2715318114499,41"
20204,Internet Banking,Empréstimos e Financiamentos,Não aplicável,36683104,"64916056491,87"
20204,ATM,Consulta Saldo/Extrato,ATM/Acesso restrito,295372391,0
20204,ATM,Empréstimos e Financiamentos,ATM/Acesso aberto/Cartão próprio,809004,"1479040170,8"
20204,Correspondentes no País,Boletos e Convênios,Não aplicável,581266475,"137800944401,17"
20204,ATM,Boletos e Convênios,ATM/Acesso restrito,73021193,"38930469776,3"
20204,Agências,Depósito,Não aplicável,61119543,"2517839187029,96"
20204,Centrais de Atendimento,Outras não Financeiras,Não aplicável,43082309,0
20204,Telefone Celular,Outras Financeiras,Não aplicável,42953128,"154962224446,79"
20204,Telefone Celular,Boletos e Convênios,Não aplicável,682364639,"318484151914,11"
20204,Agências,Empréstimos e Financiamentos,Não aplicável,184890621,"388731693405,11"
20204,Posto de Atendimento Cooperativo,Outras Financeiras,Não aplicável,82000,"1414335237,89"
20204,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão terceiro,316331,0
20204,Centrais de Atendimento,Ordem de Transferência de Crédito,Não aplicável,647071,"23552172540,48"
20204,Agências,Pix,Não aplicável,245,"53593,27"
20204,ATM,Empréstimos e Financiamentos,ATM/Acesso aberto/Cartão terceiro,295727,"1013706177,89"
20204,Telefone Celular,Consulta Saldo/Extrato,Não aplicável,9361556028,0
20204,Internet Banking,Outras não Financeiras,Não aplicável,1852044725,0
20204,Internet Banking,Outras Financeiras,Não aplicável,497179095,"1417244344788,4"
20204,Internet Banking,Consulta Saldo/Extrato,Não aplicável,1886408722,"10,74"
20204,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão próprio,6556543,0
20204,ATM,Depósito,ATM/Acesso aberto/Cartão próprio,50846445,"62702057076,31"
20204,ATM,Saque,ATM/Acesso restrito,355156647,"209175460148,02"
20204,Centrais de Atendimento,Consulta Saldo/Extrato,Não aplicável,84685365,0
20204,Agências,Consulta Saldo/Extrato,Não aplicável,129468600,0
20204,Posto de Atendimento Cooperativo,Depósito,Não aplicável,5852053,11285049224
20204,ATM,Ordem de Transferência de Crédito,ATM/Acesso restrito,28752397,"46260718693,71"
20204,Correspondentes no País,Depósito,Não aplicável,127944077,"61287211376,69"
20204,Centrais de Atendimento,Outras Financeiras,Não aplicável,475509,"119547727962,47"
20204,Agências,Outras Financeiras,Não aplicável,123089167,"2982934074322,8"
20204,Internet Banking,Ordem de Transferência de Crédito,Não aplicável,246893767,"4472362774367,51"
20204,Correspondentes no País,Saque,Não aplicável,159272501,"87197899866,07"
20204,ATM,Depósito,ATM/Acesso restrito,182303931,"184004991504,11"
20204,ATM,Saque,ATM/Acesso aberto/Cartão terceiro,381524837,"139603423093,18"
20204,Posto de Atendimento Cooperativo,Boletos e Convênios,Não aplicável,56243529,"50736969391,89"
20204,ATM,Ordem de Transferência de Crédito,ATM/Acesso aberto/Cartão terceiro,1043011,"822714666,7"
20204,Correspondentes no País,Outras não Financeiras,Não aplicável,2321109,0
