data,ano,mes,valor
2020-11-01,2020,11,25.13
2020-12-01,2020,12,25.62
2021-01-01,2021,1,25.84
2021-02-01,2021,2,25.94
2021-03-01,2021,3,26.0
2021-04-01,2021,4,26.27
2021-05-01,2021,5,26.91
2021-06-01,2021,6,27.39
2021-07-01,2021,7,27.84
2021-08-01,2021,8,28.73
2021-09-01,2021,9,29.47
2021-10-01,2021,10,30.0
2021-11-01,2021,11,30.6
2021-12-01,2021,12,31.03
2022-01-01,2022,1,31.21
2022-02-01,2022,2,31.1
2022-03-01,2022,3,31.14
2022-04-01,2022,4,31.34
2022-05-01,2022,5,31.29
2022-06-01,2022,6,31.36
2022-07-01,2022,7,31.5
2022-08-01,2022,8,31.42
2022-09-01,2022,9,31.39
2022-10-01,2022,10,31.59
2022-11-01,2022,11,31.44
2022-12-01,2022,12,31.16
2023-01-01,2023,1,31.2
2023-02-01,2023,2,30.94
2023-03-01,2023,3,30.81
2023-04-01,2023,4,30.7
2023-05-01,2023,5,30.9
2023-06-01,2023,6,30.49
2023-07-01,2023,7,30.16
2023-08-01,2023,8,30.31
2023-09-01,2023,9,30.14
2023-10-01,2023,10,30.18
2023-11-01,2023,11,30.19
2023-12-01,2023,12,29.86
2024-01-01,2024,1,30.13
2024-02-01,2024,2,30.11
2024-03-01,2024,3,29.99
2024-04-01,2024,4,29.9
2024-05-01,2024,5,29.84
2024-06-01,2024,6,29.85
2024-07-01,2024,7,30.03
2024-08-01,2024,8,30.15
2024-09-01,2024,9,30.12
2024-10-01,2024,10,30.17
2024-11-01,2024,11,30.28
2024-12-01,2024,12,30.3
2025-01-01,2025,1,30.52
2025-02-01,2025,2,30.45
2025-03-01,2025,3,30.62
2025-04-01,2025,4,30.68
2025-05-01,2025,5,30.58
2025-06-01,2025,6,30.53
2025-07-01,2025,7,30.52
2025-08-01,2025,8,30.61
2025-09-01,2025,9,30.69
2025-10-01,2025,10,30.99
2025-11-01,2025,11,31.13
2025-12-01,2025,12,31.16
2026-01-01,2026,1,31.35
2026-02-01,2026,2,31.24
2026-03-01,2026,3,31.24
2026-04-01,2026,4,31.19
2026-05-01,2026,5,31.06
2026-06-01,2026,6,30.83
